"population_id","species","country","sitename","location_description","elevation","latitude","longitude","description","ecology_description","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","EMT","EXT","Eref","CMD","RH","OM","P1","P2","BICARB","K","MG","CA","NA","PH","CEC","PERCENT_K","PERCENT_MG","PERCENT_CA","PERCENT_NA","SOL_SALTS"
"ANN_58","Helianthus annuus","United States","Texas","Skidmore, S side of town, roadside on U.S. Route 181, N of intersection with County Road 612 and S of intersection with County Road 611",35,28.24166,-97.67443,"Grassland on flat and roadside, with deep soil","Grassland on flat and roadside, with deep soil",21.8,29.6,12.4,17.2,781,463,40.8,63.8,6,6139,570,1971,361,42,346,304,-8.7,43.3,1561,780,64,2.2,13,23,8,246,150,3618,32,7.7,20.1,3.1,6.2,90,0.7,0.5
"ANN_59","Helianthus annuus","United States","Texas","Roadside on U.S. Route 77 (Interstate 69E) Frontage Road (W), S of intersection with Farm to Market Road 1762",12,26.50251,-97.77181,"Margin of fallow Sorghum field, with deep soil","Margin of fallow Sorghum field, with deep soil",22.8,29.2,14.3,14.9,689,444,47.5,65.7,4,6461,394,2130,363,41,351,309,-5.5,42.6,1622,934,65,2.5,20,132,32,917,332,3955,60,8,25.2,9.3,11,78.7,1,0.6
"ANN_60","Helianthus annuus","United States","Texas","Riviera Beach, along shore of Baffin Bay, near intersection of County Road 1155 with County Road 2360",0,27.28522,-97.66729,"Maritime grassland and salt-marsh near seashore, with deep, sandy soil","Maritime grassland and salt-marsh near seashore, with deep, sandy soil",22.2,28.9,13.2,15.7,680,411,47.3,70.3,5,6253,482,2011,362,42,351,309,-7.3,41.9,1522,842,67,2.8,8,17,7,445,379,2372,266,7.4,17.3,6.6,18.3,68.4,6.7,0.6
"ANN_61","Helianthus annuus","United States","Texas","Roadside on U.S. 77 Frontage Road, just NE of intersection with Lincoln Avenue",20,27.77652,-97.66801,"Margin of fallow Sorghum field, with deep soil","Margin of fallow Sorghum field, with deep soil",21.9,29.4,12.4,17,756,455,42.2,64.6,6,6160,553,1982,361,42,348,306,-8.1,42.6,1510,754,67,2.4,8,41,16,908,540,6323,90,8.1,38.8,6,11.6,81.4,1,0.7
"ANN_62","Helianthus annuus","United States","Iowa","Along east side of Wolf Creek Ditch, between Hwy 141 and old Hwy 141, adjacent to Table Marsh WMA",329,42.24842,-96.05867,"Undisturbed wetland and elevated dike road","Undisturbed wetland and elevated dike road",9.4,24.4,-7.4,31.8,725,467,26.8,52.3,634,2854,3653,556,196,120,282,161,-34.9,41.6,934,271,57,2.3,57,140,0,633,315,3055,21,7.8,19.6,8.3,13.4,77.8,0.5,0.6
"ANN_63","Helianthus annuus","United States","Iowa","Off exit 35 from I-29 just south of Omaha, by the west side of the gas station",290,41.04647,-95.82286,"Marshy waste place near a recently abandoned construction site","Marshy waste place near a recently abandoned construction site",10.9,25.3,-5.3,30.7,810,521,25.8,48.6,455,3128,3256,682,212,113,287,173,-32.4,42.1,972,227,58,2.4,12,44,19,513,583,5011,100,7.9,31.7,4.1,15.3,79.2,1.4,0.6
"ANN_64","Helianthus annuus","United States","Kansas","Between Victory Rd and Hwy 9 on East 1400 Rd, between Agra and Kirwin",550,39.68894,-99.06605,"Grassy fallow land and weedy roadside vegetation","Grassy fallow land and weedy roadside vegetation",11.3,26.2,-3.8,30.1,612,401,34.9,65.4,361,3171,3145,734,208,115,283,167,-33.3,43.5,1067,500,52,4.6,72,144,0,1002,263,3826,24,7.7,24,10.7,9.1,79.8,0.4,0.6
"ANN_65","Helianthus annuus","United States","Kansas","Washington St, just east of the junction with Hwy 36",709,39.82806,-99.9072,"Grassy fallow land and weedy roadside ditch","Grassy fallow land and weedy roadside ditch",10.9,25.5,-3.6,29.1,594,408,35.2,62.7,359,3037,3209,653,202,118,281,163,-33.6,42.6,1051,487,52,1.6,19,98,10,913,289,3647,36,8.1,23.1,10.1,10.4,78.8,0.7,0.6
"ANN_66","Helianthus annuus","Canada","Manitoba","Unnamed dirt road north of Whitewater Lake",505,49.29649,-100.40875,"Marshy roadside ditch along fallow land","Marshy roadside ditch along fallow land",2.7,19.4,-17,36.5,467,314,27.2,61.7,1726,1741,5680,149,157,141,258,117,-43.9,39.2,675,297,55,5.2,23,68,38,337,484,3861,33,7.4,24.3,3.6,16.6,79.2,0.6,1.4
"ANN_67","Helianthus annuus","United States","Missouri","Off Hwy 71N, between Road 140 and the next cross street north",324,40.07698,-94.86874,"Grassy roadside and deep irrigation ditch/ravine with shrubby vegetation","Grassy roadside and deep irrigation ditch/ravine with shrubby vegetation",11.1,25.1,-4.4,29.5,923,571,22.9,43.9,393,3132,3148,663,212,115,288,174,-31.4,41.6,965,161,59,2.3,17,42,28,323,528,4861,153,7.8,30.2,2.7,14.6,80.5,2.2,0.6
"ANN_68","Helianthus annuus","United States","North Dakota","Access road to Cross Ranch State Park",525,47.24255,-101.04321,"Grassland along railway and rangeland","Grassland along railway and rangeland",5.2,21.6,-13,34.5,428,300,35.5,71.9,1244,2092,4917,275,168,136,266,129,-41,41.1,756,385,54,2.4,2,14,9,325,283,3214,27,8,19.4,4.3,12.2,82.9,0.6,0.4
"ANN_69","Helianthus annuus","United States","South Dakota","Near the junction of Hwy 83 and 14, north-east of Pierre",549,44.50105,-100.0715,"Weedy roadside ditch and fallow land surrounding pond","Weedy roadside ditch and fallow land surrounding pond",7.6,24,-9.7,33.6,460,306,38.2,78.3,876,2521,4221,463,177,129,273,144,-38.5,43.1,873,478,52,3.2,64,113,0,579,538,3291,97,7.5,22.8,6.5,19.7,72,1.8,0.6
"ANN_70","Helianthus annuus","United States","South Dakota","Off frontage road 471 Ave, east of the I-29 past Spink",381,42.8228,-96.78587,"Grasland on flat and roadside","Grasland on flat and roadside",8.9,24.4,-8.3,32.8,646,422,29.2,57.9,716,2774,3824,534,188,122,279,157,-36,42.1,931,332,56,3.3,4,36,29,360,906,3837,64,7.8,27.9,3.3,27.1,68.6,1,1
